Package,Applications,Description,Link
AHMbook,Community Analysis,Functions and Data for the Book 'Applied Hierarchical Modeling in Ecology' Vols 1 and 2,https://cran.r-project.org/web/packages/AHMbook/index.html
BayesComm,Community Analysis,Bayesian Community Ecology Analysis,https://cran.r-project.org/web/packages/BayesComm/index.html
BiodiversityR,Community Analysis,Package for Community Ecology and Suitability Analysis,https://cran.r-project.org/web/packages/BiodiversityR/index.html 
CommEcol,Community Analysis,Community Ecology Analyses,https://cran.r-project.org/web/packages/CommEcol/index.html
ecolTest,Community Analysis,Community Ecology Tests,https://cran.r-project.org/web/packages/ecolTest/index.html
FAwR,Community Analysis,Function and Datasets for “Forest Analytics with R”,https://cran.r-project.org/web/packages/FAwR/index.html 
FD,Community Analysis,"Measuring functional diversity (FD) from multiple traits, and other toos for functional ecology",https://cran.r-project.org/web/packages/FD/index.html
labdsv,Community Analysis,Ordination and Multivariate Analysis for Ecology,https://cran.r-project.org/web/packages/labdsv/index.html
SSP,Community Analysis,Simulated Sampling Procedure for Community Ecology,https://cran.r-project.org/web/packages/tsvr/index.html
tsvr,Community Analysis,Timescale-Specific Variance Ratio for Use in Community Ecology,https://cran.r-project.org/web/packages/SSP/index.html
vegan,Community Analysis,Community Ecology Package,https://cran.r-project.org/web/packages/vegan/index.html 
BIOdry,Dendrochronology,Multilevel Modeling of Dendroclimatical Fluctuations,https://cran.r-project.org/web/packages/BIOdry/index.html 
burnr,Dendrochronology,Forest Fire History Analysis,https://cran.r-project.org/web/packages/burnr/index.html 
dfoliatR,Dendrochronology,Detection and analysis of insect defoliators in tree rings,https://cran.r-project.org/package=dfoliatR
DendroSync,Dendrochronology,A Set of Tools for Calculating Spatial Synchrony Between Tree-Ring Chronologies,https://cran.r-project.org/web/packages/DendroSync/index.html   
dendroTools,Dendrochronology,Linear and Nonlinear Methods for Analyzing Daily and Monthly Dendroclimatological Data,https://cran.r-project.org/web/packages/dendroTools/index.html 
detrendeR,Dendrochronology,Start the detrendeR Graphical User Interface (GUI),https://cran.r-project.org/web/packages/detrendeR/index.html 
dlpR,Dendrochronology,Dendrochronology Program Library in R,https://cran.r-project.org/web/packages/dplR/index.html 
measuRing,Dendrochronology,Detection and Control of Tree-Ring Widths on Scanned Image Sections,https://cran.r-project.org/web/packages/measuRing/index.html 
pointRes,Dendrochronology,Analyzing Pointer Years and Components of Resilience,https://cran.r-project.org/web/packages/pointRes/index.html 
