Package ,Applications,,Link
baad,Inventory/Mensuration,a Biomass And Allometry Database for woody plants,https://github.com/dfalster/baad
basifoR,Inventory/Mensuration,Retrieval and Processing of the Spanish National Forest Inventory,https://cran.r-project.org/web/packages/basifoR/index.html
BIEN,Community Analysis,Tools for Accessing the Botanical Information and Ecology Network Database,https://cran.r-project.org/web/packages/BIEN/BIEN.pdf
BiodiversityR,Community Analysis,Package for Community Ecology and Suitability Analysis,https://cran.r-project.org/web/packages/BiodiversityR/index.html 
BIOdry,Dendrochronology,Multilevel Modeling of Dendroclimatical Fluctuations,https://cran.r-project.org/web/packages/BIOdry/index.html 
BIOMASS,Inventory/Mensuration,Estimating Aboveground Biomass and ITs Uncertainty in Tropical Forests,https://cran.r-project.org/web/packages/BIOMASS/index.html 
burnr,Dendrochronology,Forest Fire History Analysis,https://cran.r-project.org/web/packages/burnr/index.html 
canopyLazR,Remote Sensing,"R package to estimate leaf area density (LAD), leaf area index (LAI), and forest structural attributes from airborne LiDAR point clouds.",https://github.com/akamoske/canopyLazR 
cffdrs,Inventory/Mensuration,Canadian Forest Fire Danger Rating System,https://cran.r-project.org/web/packages/cffdrs/index.html
chillR,Phenology,Statistical Methods for Phenology Analysis in Temperate Fruit Trees,https://cran.r-project.org/web/packages/chillR/index.html 
CommEcol,Community Analysis,Community Ecology Analyses,https://cran.r-project.org/web/packages/CommEcol/index.html
dendrometeR,Inventory/Mensuration,Analyzing Dendrometer Data,https://cran.r-project.org/web/packages/dendrometeR/index.html 
DendroSync,Dendrochronology,A Set of Tools for Calculating Spatial Synchrony Between Tree-Ring Chronologies,https://cran.r-project.org/web/packages/DendroSync/index.html   
dendroTools,Dendrochronology,Linear and Nonlinear Methods for Analyzing Daily and Monthly Dendroclimatological Data,https://cran.r-project.org/web/packages/dendroTools/index.html 
detrendeR,Dendrochronology,Start the detrendeR Graphical User Interface (GUI),https://cran.r-project.org/web/packages/detrendeR/index.html 
DGVM3D,Modelling/Simulation,3D Forest Simulation Visualization Tool,https://cran.r-project.org/web/packages/DGVM3D/index.html 
dlpR,Dendrochronology,Dendrochronology Program Library in R,https://cran.r-project.org/web/packages/dplR/index.html 
ecolTest,Community Analysis,Community Ecology Tests,https://cran.r-project.org/web/packages/ecolTest/index.html
FAwR,Community Analysis,Function and Datasets for “Forest Analytics with R”,https://cran.r-project.org/web/packages/FAwR/index.html 
FD,Community Analysis,"Measuring functional diversity (FD) from multiple traits, and other toos for functional ecology",https://cran.r-project.org/web/packages/FD/index.html
fdq,Inventory/Mensuration,Forest Data Quality,https://cran.r-project.org/web/packages/fdq/index.html 
fgeo,Inventory/Mensuration,Analyze Forest Diversity and Dynamics,https://cran.r-project.org/web/packages/fgeo/index.html 
fgeo.analyze,Inventory/Mensuration,Analyze ForestGEO Data,https://cran.r-project.org/web/packages/fgeo.analyze/index.html 
fgeo.plot,Inventory/Mensuration,Plot ForestGEO Data,https://cran.r-project.org/web/packages/fgeo.plot/index.html 
